,Target.name
GNPTAB,GNPTAB
PHKB,PHKB
AMZ1,AMZ1
PTGFRN,PTGFRN
RNF145,RNF145
MMP8,MMP8
CDO1,CDO1
CNOT3,CNOT3
ADH1C,ADH1C
CD81,CD81
SMTNL1,SMTNL1
POLR1E,POLR1E
EZH1,EZH1
CD34,CD34
RBM10,RBM10
MDM4,MDM4
RPS5,RPS5
DAPK3,DAPK3
CHTF8,CHTF8
SOD1,SOD1
MED13,MED13
ABCC1,ABCC1
THBD,THBD
NR1D2,NR1D2
ITGA3,ITGA3
LYST,LYST
DNAJC6,DNAJC6
HUNK,HUNK
ERGIC2,ERGIC2
RPS15A,RPS15A
IZUMO4,IZUMO4
TUBA3FP,TUBA3FP
PRPF6,PRPF6
DSEL,DSEL
AMY1A,AMY1A
NT5C3A,NT5C3A
RDH8,RDH8
ADCY6,ADCY6
LTN1,LTN1
RSL24D1,RSL24D1
GABRG3,GABRG3
CTBP1,CTBP1
IL1R1,IL1R1
HARS1,HARS1
ZNF423,ZNF423
PHYH,PHYH
NIM1K,NIM1K
SERPING1,SERPING1
ABCA9,ABCA9
APOBEC3A,APOBEC3A
AIM2,AIM2
NCK1,NCK1
GALR1,GALR1
PSMD4,PSMD4
LGALS3,LGALS3
PLA2G2A,PLA2G2A
KLF5,KLF5
PARPBP,PARPBP
BCL2L11,BCL2L11
ADK,ADK
PI4K2B,PI4K2B
ZNF788P,ZNF788P
NOTCH1,NOTCH1
SP8,SP8
FXR2,FXR2
PSAT1,PSAT1
PFKFB2,PFKFB2
VPS13B,VPS13B
RFX6,RFX6
AMHR2,AMHR2
FGD5-AS1,FGD5-AS1
MAN1B1,MAN1B1
KIRREL2,KIRREL2
SMAD6,SMAD6
JMJD8,JMJD8
CCL13,CCL13
AARS1,AARS1
ALPK1,ALPK1
PLXNC1,PLXNC1
STX3,STX3
HAVCR2,HAVCR2
SPATA5L1,SPATA5L1
HADHB,HADHB
ADM,ADM
IL12RB1,IL12RB1
ACADS,ACADS
PHKG2,PHKG2
NPFFR2,NPFFR2
ZUP1,ZUP1
SDK2,SDK2
HLA-F-AS1,HLA-F-AS1
PRSS3,PRSS3
NCOA1,NCOA1
LILRA6,LILRA6
CD59,CD59
GUSB,GUSB
SHH,SHH
TNFSF13,TNFSF13
GPAT3,GPAT3
HYOU1,HYOU1
TLX3,TLX3
PTPRT,PTPRT
BTG2,BTG2
ICAM2,ICAM2
SV2C,SV2C
BEND3,BEND3
IL5RA,IL5RA
GSTM4,GSTM4
EIF4EBP3,EIF4EBP3
ZNF595,ZNF595
MAML1,MAML1
HDAC9,HDAC9
MTRR,MTRR
DUSP10,DUSP10
HCFC1,HCFC1
FCRLB,FCRLB
GABRG2,GABRG2
MAPK8,MAPK8
NPY5R,NPY5R
TSC22D1,TSC22D1
RBM15,RBM15
TRAF5,TRAF5
MREG,MREG
RHAG,RHAG
ZBP1,ZBP1
OAZ1,OAZ1
CDK8,CDK8
VCP,VCP
SDF2,SDF2
RAI1,RAI1
HLF,HLF
PPP2R1A,PPP2R1A
MAGEA9,MAGEA9
AP2A2,AP2A2
ZNF444,ZNF444
SMIM26,SMIM26
AKAP8L,AKAP8L
APOBEC3B,APOBEC3B
ARMC5,ARMC5
MAP2,MAP2
WIF1,WIF1
COL7A1,COL7A1
CLCNKA,CLCNKA
PGM2L1,PGM2L1
PRTN3,PRTN3
ZBED2,ZBED2
RELL2,RELL2
HIPK3,HIPK3
KIF21A,KIF21A
TRIM36,TRIM36
ACKR3,ACKR3
EPS8,EPS8
ECSIT,ECSIT
MMP3,MMP3
NUP133,NUP133
ELF3,ELF3
P3H2,P3H2
CD74,CD74
PITX2,PITX2
LMTK3,LMTK3
OTUD7A,OTUD7A
SFTPD,SFTPD
GTPBP8,GTPBP8
CXCL1,CXCL1
GABBR1,GABBR1
ORC1,ORC1
CASP3,CASP3
RAB11FIP2,RAB11FIP2
PIGR,PIGR
MMP27,MMP27
VHL,VHL
ITM2A,ITM2A
JAK1,JAK1
WWTR1,WWTR1
SRR,SRR
ZNF662,ZNF662
RRAS2,RRAS2
CLEC11A,CLEC11A
FOXA3,FOXA3
SUGT1,SUGT1
CCL21,CCL21
USP28,USP28
TNF,TNF
FLT1,FLT1
SLC22A1,SLC22A1
IQSEC3,IQSEC3
FPR3,FPR3
CBR1,CBR1
PTPN12,PTPN12
MED15,MED15
NGEF,NGEF
SP100,SP100
WWOX,WWOX
GGA2,GGA2
RTCA,RTCA
CRAT,CRAT
SIT1,SIT1
CREM,CREM
IDNK,IDNK
ATG10,ATG10
ITCH,ITCH
GEM,GEM
ZC3H7B,ZC3H7B
KLHL29,KLHL29
LAMTOR2,LAMTOR2
ARHGAP30,ARHGAP30
SNURF,SNURF
MAPK1IP1L,MAPK1IP1L
GPM6B,GPM6B
TOP2B,TOP2B
AZI2,AZI2
APH1B,APH1B
RORC,RORC
MPPED1,MPPED1
CAMK2B,CAMK2B
LINC00479,LINC00479
NOD2,NOD2
GPR176,GPR176
CAMTA2,CAMTA2
NHP2,NHP2
HP1BP3,HP1BP3
ATP2C1,ATP2C1
ZBED5-AS1,ZBED5-AS1
SERPINA7,SERPINA7
CASP9,CASP9
IL17C,IL17C
RHOXF1,RHOXF1
PRKAA1,PRKAA1
ZBTB48,ZBTB48
CELF4,CELF4
KCNV2,KCNV2
SCN2A,SCN2A
HERC6,HERC6
NEUROD1,NEUROD1
PRNP,PRNP
HOMEZ,HOMEZ
TSTD3,TSTD3
SLCO6A1,SLCO6A1
CBLL2,CBLL2
ECH1,ECH1
MYB,MYB
RYR3,RYR3
RDH11,RDH11
ZNF273,ZNF273
IMPA1,IMPA1
TYRO3,TYRO3
PIP5K1B,PIP5K1B
TIGIT,TIGIT
CTPS1,CTPS1
PCDH15,PCDH15
GANAB,GANAB
TAOK1,TAOK1
TFPI,TFPI
CYP2D6,CYP2D6
SRRM1,SRRM1
KIT,KIT
TOB2,TOB2
HIPK1,HIPK1
LRPPRC,LRPPRC
VRK2,VRK2
PPP2R3A,PPP2R3A
IFIT5,IFIT5
TRIB3,TRIB3
RASSF8-AS1,RASSF8-AS1
SORBS2,SORBS2
BCOR,BCOR
MEG3,MEG3
SSTR5,SSTR5
PSG4,PSG4
FGR,FGR
OVOL2,OVOL2
FLT4,FLT4
MAP3K13,MAP3K13
PEX12,PEX12
CRISPLD1,CRISPLD1
PLEKHO2,PLEKHO2
TREX1,TREX1
POU1F1,POU1F1
TXLNA,TXLNA
CCNB1,CCNB1
DNAJA3,DNAJA3
NDUFA6,NDUFA6
HDAC8,HDAC8
PACSIN3,PACSIN3
SLC25A12,SLC25A12
DDIT4,DDIT4
C1QA,C1QA
RRAGC,RRAGC
DOCK4,DOCK4
CCNE2,CCNE2
OXTR,OXTR
MCUR1,MCUR1
RIPK4,RIPK4
SLC38A6,SLC38A6
CEACAM3,CEACAM3
PTGIR,PTGIR
RSKR,RSKR
SST,SST
ACTN2,ACTN2
GALNT2,GALNT2
PTMS,PTMS
CCL11,CCL11
PRDM1,PRDM1
SCN8A,SCN8A
SOX6,SOX6
UCN2,UCN2
TKT,TKT
EGR2,EGR2
FGG,FGG
C3orf62,C3orf62
MAML2,MAML2
PLA2G1B,PLA2G1B
TRIM2,TRIM2
PKLR,PKLR
STS,STS
TMEM266,TMEM266
CBR3,CBR3
SPTY2D1OS,SPTY2D1OS
SPOCK2,SPOCK2
RFX4,RFX4
DVL2,DVL2
HMGN5,HMGN5
KCNQ3,KCNQ3
RNF133,RNF133
ZNF461,ZNF461
HLA-B,HLA-B
CPT1A,CPT1A
CMPK1,CMPK1
PPP4R2,PPP4R2
RABGGTA,RABGGTA
ADD3,ADD3
TAF12,TAF12
PCCB,PCCB
PTPRG-AS1,PTPRG-AS1
SETD1B,SETD1B
LBR,LBR
ZNF517,ZNF517
BMX,BMX
BFSP2,BFSP2
RASGRP1,RASGRP1
CCNG2,CCNG2
CLCN5,CLCN5
IL7,IL7
GBA,GBA
PRKAG1,PRKAG1
DPF1,DPF1
AK3,AK3
ZNF790,ZNF790
SEC14L4,SEC14L4
PHLPP2,PHLPP2
GET1,GET1
MYT1,MYT1
SFMBT1,SFMBT1
CCL8,CCL8
CCNL1,CCNL1
PIK3R2,PIK3R2
LILRA5,LILRA5
AGPAT1,AGPAT1
CERS1,CERS1
LRSAM1,LRSAM1
CCDC121,CCDC121
MRGPRD,MRGPRD
AADAT,AADAT
CYP2C19,CYP2C19
ZSCAN21,ZSCAN21
TACR1,TACR1
ZBTB7B,ZBTB7B
NKX2-3,NKX2-3
SCD,SCD
STK36,STK36
PILRA,PILRA
NEK2,NEK2
DOT1L,DOT1L
CSF2RA,CSF2RA
CD72,CD72
NPAS3,NPAS3
VDAC1,VDAC1
PEX13,PEX13
FAM47E,FAM47E
FBXO34,FBXO34
LYVE1,LYVE1
CADM1,CADM1
LILRB1,LILRB1
PTK2B,PTK2B
UNC5D,UNC5D
CDKL1,CDKL1
ZNF519,ZNF519
PARK7,PARK7
TUBA3C,TUBA3C
PCBD1,PCBD1
DDOST,DDOST
FTH1,FTH1
TNFRSF4,TNFRSF4
CCND2,CCND2
CTRB1,CTRB1
PRAF2,PRAF2
RBL1,RBL1
