,Target.name
SCLY,SCLY
SEL1L3,SEL1L3
PIK3C2G,PIK3C2G
IFI30,IFI30
PDE6A,PDE6A
STK11,STK11
TPST2,TPST2
SETD2,SETD2
STBD1,STBD1
EPHB2,EPHB2
ZNF416,ZNF416
HTR1A,HTR1A
ABCC5,ABCC5
PNPLA3,PNPLA3
POLE2,POLE2
TLK1,TLK1
NRBP1,NRBP1
TMEM120A,TMEM120A
HDC,HDC
VAMP5,VAMP5
UPB1,UPB1
HRK,HRK
KCNK4,KCNK4
TTF1,TTF1
CCL5,CCL5
TADA3,TADA3
PUM3,PUM3
AMIGO1,AMIGO1
TRIM73,TRIM73
ATOX1,ATOX1
RFNG,RFNG
WDR6,WDR6
KIR3DL1,KIR3DL1
CAV1,CAV1
ESYT1,ESYT1
ORM1,ORM1
AP3D1,AP3D1
GLRX,GLRX
IDH3A,IDH3A
ACAA1,ACAA1
NDUFS4,NDUFS4
TNK1,TNK1
PLXNA1,PLXNA1
SMARCA5,SMARCA5
UBTF,UBTF
GRK4,GRK4
PXN,PXN
MLEC,MLEC
BCL7C,BCL7C
MESP1,MESP1
SPDEF,SPDEF
CAPG,CAPG
LINGO3,LINGO3
BTBD1,BTBD1
CMTM7,CMTM7
FOXN1,FOXN1
GPR26,GPR26
CDK19,CDK19
LHX3,LHX3
VN1R5,VN1R5
TGFB3,TGFB3
LEFTY1,LEFTY1
TSGA10IP,TSGA10IP
TLE5,TLE5
GNG5,GNG5
ACTG1,ACTG1
OOSP2,OOSP2
DPF3,DPF3
YBX3,YBX3
ACOT9,ACOT9
GCSAML,GCSAML
PRRG4,PRRG4
TSPAN8,TSPAN8
CPLX1,CPLX1
ATP8B4,ATP8B4
KLHL34,KLHL34
IL13RA1,IL13RA1
LIPC,LIPC
POU4F3,POU4F3
GPR62,GPR62
SIPA1,SIPA1
FNBP1L,FNBP1L
TICAM1,TICAM1
ZNF827,ZNF827
HIVEP2,HIVEP2
IFIH1,IFIH1
PROCR,PROCR
NR1H4,NR1H4
FADS1,FADS1
RNF5,RNF5
MAP3K11,MAP3K11
CDK3,CDK3
IL18R1,IL18R1
PER2,PER2
ESR1,ESR1
PLSCR3,PLSCR3
NCF4,NCF4
POP4,POP4
ZNF155,ZNF155
PRKAR1A,PRKAR1A
ODF3L1,ODF3L1
PANX2,PANX2
IL4I1,IL4I1
SMURF2,SMURF2
FADS3,FADS3
HOXA3,HOXA3
OAZ2,OAZ2
CD40LG,CD40LG
IGF2BP2,IGF2BP2
MX1,MX1
CLEC17A,CLEC17A
KMT5B,KMT5B
EEF1D,EEF1D
TNFRSF1A,TNFRSF1A
TRIM60,TRIM60
ARFGAP1,ARFGAP1
SETMAR,SETMAR
ADGRG4,ADGRG4
ROPN1,ROPN1
OR2T33,OR2T33
KCTD3,KCTD3
WNT5A,WNT5A
PECAM1,PECAM1
DNMT3A,DNMT3A
PBX1,PBX1
SLC41A2,SLC41A2
SLC7A11,SLC7A11
APOC3,APOC3
PDGFC,PDGFC
DECR1,DECR1
CTSG,CTSG
SMARCB1,SMARCB1
CCT7,CCT7
TNFRSF8,TNFRSF8
KARS1,KARS1
ELK1,ELK1
CYTH4,CYTH4
STK26,STK26
CSF2,CSF2
NOL4L,NOL4L
HNRNPAB,HNRNPAB
OPRK1,OPRK1
PPP4R1,PPP4R1
EIF2AK2,EIF2AK2
CRX,CRX
HAX1,HAX1
TSSC4,TSSC4
STK33,STK33
SLC9A4,SLC9A4
ALAS1,ALAS1
STRADB,STRADB
PRDM10,PRDM10
DNAJB9,DNAJB9
C2CD4A,C2CD4A
ANXA3,ANXA3
KCNMB4,KCNMB4
PMS2,PMS2
GLRB,GLRB
PRKDC,PRKDC
LAMP5,LAMP5
CDKN1B,CDKN1B
RPL13A,RPL13A
ZNF182,ZNF182
CNIH3,CNIH3
ACTA1,ACTA1
FEZ2,FEZ2
ADGRF2,ADGRF2
SLC37A4,SLC37A4
NBDY,NBDY
CASK,CASK
AKR1C2,AKR1C2
WNT10B,WNT10B
EPHA1,EPHA1
MACROH2A1,MACROH2A1
ARHGEF2,ARHGEF2
COX6A2,COX6A2
ITGB3,ITGB3
GADD45A,GADD45A
TOR1A,TOR1A
GTF2H3,GTF2H3
SCNM1,SCNM1
TERB1,TERB1
KCNA2,KCNA2
AKAP9,AKAP9
TTC37,TTC37
PROX1,PROX1
HM13,HM13
F11R,F11R
TM6SF1,TM6SF1
WNT3,WNT3
PROS1,PROS1
SLC6A14,SLC6A14
HERC4,HERC4
HPD,HPD
PTDSS1,PTDSS1
INPPL1,INPPL1
PSMD9,PSMD9
SNAPC1,SNAPC1
MCM7,MCM7
CPXCR1,CPXCR1
ADAM15,ADAM15
COG4,COG4
CAMLG,CAMLG
ANKRD37,ANKRD37
PCGF3,PCGF3
CALCRL,CALCRL
HAGLR,HAGLR
HDAC6,HDAC6
PTK2,PTK2
HSD17B4,HSD17B4
ZNF549,ZNF549
SLFN11,SLFN11
SNHG21,SNHG21
ZNF597,ZNF597
SPAG4,SPAG4
RNF128,RNF128
AK4,AK4
PTRH1,PTRH1
PSMB5,PSMB5
BMP4,BMP4
KDELR2,KDELR2
PIGA,PIGA
AK7,AK7
UBA1,UBA1
ITPK1,ITPK1
FNTA,FNTA
ZDHHC6,ZDHHC6
SLC4A3,SLC4A3
MAPKAPK2,MAPKAPK2
FAS,FAS
HPS1,HPS1
CCDC116,CCDC116
PLXNB3,PLXNB3
NT5E,NT5E
GIGYF2,GIGYF2
PPIL2,PPIL2
DMRTB1,DMRTB1
TP53I3,TP53I3
SAT1,SAT1
ZNF138,ZNF138
RBM45,RBM45
ATG5,ATG5
TFDP1,TFDP1
MED7,MED7
SMARCA2,SMARCA2
PRKACA,PRKACA
MCHR2,MCHR2
ZFP1,ZFP1
ZNF529-AS1,ZNF529-AS1
ZNF71,ZNF71
PFDN2,PFDN2
MAP3K6,MAP3K6
TFDP2,TFDP2
TIAM1,TIAM1
PIP4K2B,PIP4K2B
VEGFB,VEGFB
ATF6B,ATF6B
RHOB,RHOB
PRKAG3,PRKAG3
FCRLA,FCRLA
RNF8,RNF8
NR0B2,NR0B2
AVPR2,AVPR2
MAP3K12,MAP3K12
LINC01004,LINC01004
GMPR2,GMPR2
SLC13A1,SLC13A1
BMPR1A,BMPR1A
TRIM69,TRIM69
ZFAND2A,ZFAND2A
RAB11A,RAB11A
SERPINE1,SERPINE1
STUB1,STUB1
EXOSC8,EXOSC8
PTGIS,PTGIS
C4BPA,C4BPA
CDKN2A,CDKN2A
TFAP2C,TFAP2C
CTBP2,CTBP2
RBPMS2,RBPMS2
ZNF786,ZNF786
ULK3,ULK3
KIF13B,KIF13B
PRPSAP2,PRPSAP2
NFIL3,NFIL3
BRSK2,BRSK2
MT-CO2,MT-CO2
KLHDC9,KLHDC9
FAM160A1,FAM160A1
TMEM82,TMEM82
CCL23,CCL23
ATM,ATM
NKX3-1,NKX3-1
IL11RA,IL11RA
DANCR,DANCR
HTR5A,HTR5A
PRPF38B,PRPF38B
CCT8,CCT8
MAST2,MAST2
CLEC4D,CLEC4D
TDG,TDG
TFAP2A,TFAP2A
MBD3,MBD3
LHCGR,LHCGR
TMEM229B,TMEM229B
CACNA2D2,CACNA2D2
NRP2,NRP2
PCNX3,PCNX3
CHMP2B,CHMP2B
LGALS16,LGALS16
ACTB,ACTB
DDX6,DDX6
GNAS,GNAS
NOL9,NOL9
GNAL,GNAL
ATP1B1,ATP1B1
SMG1,SMG1
NPTX2,NPTX2
CDK17,CDK17
GALNT3,GALNT3
SMIM25,SMIM25
VAMP3,VAMP3
B3GNT5,B3GNT5
LRP2,LRP2
NDUFAF4,NDUFAF4
CDC25B,CDC25B
C1orf61,C1orf61
DOCK2,DOCK2
DDAH1,DDAH1
TSC22D4,TSC22D4
ERH,ERH
HOXB7,HOXB7
PLA2G2C,PLA2G2C
NRGN,NRGN
LILRA4,LILRA4
ATP6V1A,ATP6V1A
KHK,KHK
NNT-AS1,NNT-AS1
PRKG2,PRKG2
SLC30A7,SLC30A7
HS3ST3A1,HS3ST3A1
CHGA,CHGA
ABCG5,ABCG5
SYN1,SYN1
GFOD2,GFOD2
DDX58,DDX58
FCHO1,FCHO1
LOXL1,LOXL1
PYHIN1,PYHIN1
TNFRSF19,TNFRSF19
CXCL10,CXCL10
TOX2,TOX2
GSTM3,GSTM3
KLHL2,KLHL2
CLEC9A,CLEC9A
BRAP,BRAP
SIGLEC9,SIGLEC9
CYTH2,CYTH2
SMARCC2,SMARCC2
FFAR4,FFAR4
CCN1,CCN1
ZNF563,ZNF563
MYH2,MYH2
TUBB4A,TUBB4A
PFKM,PFKM
POLG,POLG
PRKX,PRKX
ELOF1,ELOF1
KCNS3,KCNS3
TBC1D31,TBC1D31
RLBP1,RLBP1
KRT8,KRT8
TAS2R60,TAS2R60
ZC3HC1,ZC3HC1
ATXN7L2,ATXN7L2
MSTO1,MSTO1
CIAO3,CIAO3
GJA9,GJA9
CEP170,CEP170
F2R,F2R
MME,MME
GPR183,GPR183
AIP,AIP
EIF2S2,EIF2S2
ARID4A,ARID4A
GATA2,GATA2
CCDC36,CCDC36
HTR2C,HTR2C
SQLE,SQLE
AFF1,AFF1
PDIA2,PDIA2
NEK8,NEK8
LZTS3,LZTS3
KRTAP5-9,KRTAP5-9
DNM1,DNM1
CHRNB3,CHRNB3
SLC41A1,SLC41A1
FGFR1OP,FGFR1OP
ZNF333,ZNF333
ULK1,ULK1
RNF111,RNF111
HPGD,HPGD
SLC27A2,SLC27A2
ATP11B,ATP11B
LIFR-AS1,LIFR-AS1
IFNA21,IFNA21
DAGLA,DAGLA
NDUFB4,NDUFB4
CYP4F2,CYP4F2
EPOP,EPOP
HOXA1,HOXA1
FBLIM1,FBLIM1
NADK,NADK
NDUFA4,NDUFA4
GLI1,GLI1
MIXL1,MIXL1
RBM8A,RBM8A
SDC4,SDC4
BBC3,BBC3
CLEC10A,CLEC10A
SLAMF1,SLAMF1
GALNTL5,GALNTL5
IFNGR1,IFNGR1
MAP3K2,MAP3K2
CEP89,CEP89
P2RY11,P2RY11
CD52,CD52
GSK3A,GSK3A
FAIM2,FAIM2
COQ2,COQ2
PDE6B,PDE6B
RCC1,RCC1
GCM2,GCM2
LMNA,LMNA
HSPA4,HSPA4
GATA6,GATA6
MAST4,MAST4
COL1A2,COL1A2
ARMH1,ARMH1
TSC22D3,TSC22D3
NOX3,NOX3
EXD1,EXD1
SNX11,SNX11
COBLL1,COBLL1
GMNN,GMNN
ZNF331,ZNF331
KRTAP4-11,KRTAP4-11
FCER1A,FCER1A
GPD1,GPD1
ZNF263,ZNF263
ZNF497,ZNF497
PRKD3,PRKD3
GALE,GALE
CTDSP1,CTDSP1
NXPH4,NXPH4
KLHDC2,KLHDC2
MLPH,MLPH
ITGA2B,ITGA2B
NPPB,NPPB
FTCDNL1,FTCDNL1
ADH5,ADH5
PCBP1-AS1,PCBP1-AS1
VIM,VIM
TREM2,TREM2
GRIN1,GRIN1
EPC1,EPC1
TMEM60,TMEM60
RECQL5,RECQL5
CEACAM5,CEACAM5
ZNF140,ZNF140
ABHD6,ABHD6
RGS4,RGS4
IKZF5,IKZF5
EMC3-AS1,EMC3-AS1
PRM1,PRM1
EXO1,EXO1
TLE2,TLE2
BAG2,BAG2
EDNRB,EDNRB
EHHADH,EHHADH
MCOLN2,MCOLN2
MYOM3,MYOM3
TET1,TET1
GTPBP2,GTPBP2
RHO,RHO
CHD6,CHD6
NNT,NNT
CD1B,CD1B
CLN3,CLN3
HOXB8,HOXB8
LPA,LPA
ERBB2,ERBB2
ACLY,ACLY
MADCAM1,MADCAM1
SLC22A6,SLC22A6
FOXP1,FOXP1
KCNN2,KCNN2
ADRA1A,ADRA1A
HTR3B,HTR3B
TRIM32,TRIM32
CETN3,CETN3
AK1,AK1
MAGED1,MAGED1
CAV3,CAV3
ERCC6,ERCC6
ARF6,ARF6
RIT2,RIT2
ZNF385D,ZNF385D
PC,PC
PKD1,PKD1
RAPGEF6,RAPGEF6
PPM1D,PPM1D
RBL2,RBL2
CCR9,CCR9
NDUFB5,NDUFB5
PLXND1,PLXND1
ANXA2,ANXA2
VDAC2,VDAC2
TIMP1,TIMP1
UBQLN2,UBQLN2
NR2F1,NR2F1
FZD7,FZD7
ZNF468,ZNF468
SEMA3A,SEMA3A
ZNF232,ZNF232
GABRQ,GABRQ
AKR1B1,AKR1B1
NOX1,NOX1
ITGA5,ITGA5
ZNF324,ZNF324
DPY30,DPY30
CXCL5,CXCL5
CRBN,CRBN
SLC1A5,SLC1A5
SOX2-OT,SOX2-OT
GRB10,GRB10
UBE3A,UBE3A
ZNF558,ZNF558
KIFBP,KIFBP
RHOBTB2,RHOBTB2
P2RY6,P2RY6
PRM3,PRM3
CHN1,CHN1
ACO2,ACO2
ZNF562,ZNF562
KTN1,KTN1
ZNF77,ZNF77
ASRGL1,ASRGL1
CROT,CROT
SKP1,SKP1
HK3,HK3
EGR4,EGR4
TFEB,TFEB
S1PR5,S1PR5
CDK18,CDK18
NDUFA13,NDUFA13
CERT1,CERT1
PLD4,PLD4
TREML2,TREML2
CLECL1,CLECL1
SCARB1,SCARB1
ACSM2B,ACSM2B
RAP1A,RAP1A
CLASRP,CLASRP
PACSIN1,PACSIN1
SRP14,SRP14
TRHDE-AS1,TRHDE-AS1
TWIST1,TWIST1
TIGD4,TIGD4
KLRK1,KLRK1
CHIT1,CHIT1
UNC93B1,UNC93B1
COX7C,COX7C
NUP54,NUP54
XRN1,XRN1
TBX2,TBX2
SWAP70,SWAP70
NMRK1,NMRK1
BMPR2,BMPR2
GNE,GNE
KNG1,KNG1
RAI14,RAI14
NCR2,NCR2
PTTG1,PTTG1
TPO,TPO
ITGAD,ITGAD
ADSS1,ADSS1
SLC4A11,SLC4A11
CCDC158,CCDC158
DLEU1,DLEU1
PNCK,PNCK
NDUFB2,NDUFB2
SPEN,SPEN
ENTPD2,ENTPD2
TRIO,TRIO
ASNSD1,ASNSD1
PF4,PF4
KCNK1,KCNK1
SLC43A3,SLC43A3
IGFBP7,IGFBP7
PIK3C2B,PIK3C2B
ATG7,ATG7
BCL7B,BCL7B
CCDC181,CCDC181
SAMD4A,SAMD4A
RRM2,RRM2
NSF,NSF
OMA1,OMA1
RFC5,RFC5
ZPBP2,ZPBP2
TSG101,TSG101
CTSV,CTSV
PHLDA1,PHLDA1
STX4,STX4
FAF1,FAF1
CCL3L3,CCL3L3
TMEM273,TMEM273
PSMB10,PSMB10
MPP7,MPP7
ALDH7A1,ALDH7A1
VRK3,VRK3
CCL17,CCL17
DHRS2,DHRS2
CETP,CETP
ATP6V1D,ATP6V1D
GABRR3,GABRR3
TAX1BP1,TAX1BP1
STRN4,STRN4
IP6K3,IP6K3
IRF1-AS1,IRF1-AS1
RLF,RLF
PTGDR2,PTGDR2
SDF2L1,SDF2L1
ASPA,ASPA
BYSL,BYSL
TBC1D15,TBC1D15
SLC22A18AS,SLC22A18AS
INPP1,INPP1
ESS2,ESS2
CADM3,CADM3
DOCK7,DOCK7
SUPT3H,SUPT3H
NPTN,NPTN
NFATC4,NFATC4
PHTF1,PHTF1
SV2A,SV2A
DRD5,DRD5
EDIL3,EDIL3
FBH1,FBH1
CREB3L1,CREB3L1
CNNM2,CNNM2
CD24,CD24
NECTIN4,NECTIN4
PPIF,PPIF
HSD17B3,HSD17B3
DPYSL2,DPYSL2
CAPRIN1,CAPRIN1
AKAP1,AKAP1
FDX1,FDX1
REPS2,REPS2
GPR174,GPR174
ALDH3A2,ALDH3A2
CTSA,CTSA
MXRA5,MXRA5
THADA,THADA
GRM3,GRM3
SPNS2,SPNS2
ATP6AP1,ATP6AP1
HSD17B6,HSD17B6
GABRA2,GABRA2
NEK4,NEK4
TSHZ3,TSHZ3
FOXR2,FOXR2
YWHAZ,YWHAZ
TRPT1,TRPT1
CDH1,CDH1
SLC22A8,SLC22A8
TIPRL,TIPRL
BAMBI,BAMBI
PRKCZ,PRKCZ
APCS,APCS
JAM3,JAM3
TOMM5,TOMM5
PCTP,PCTP
DLG2,DLG2
TNFRSF10D,TNFRSF10D
TAF5L,TAF5L
CFLAR,CFLAR
ALOX5,ALOX5
OXGR1,OXGR1
TNP1,TNP1
AICDA,AICDA
CALCA,CALCA
IL11,IL11
LRIG1,LRIG1
CHST1,CHST1
DDX5,DDX5
RIOK1,RIOK1
KRBOX4,KRBOX4
LMX1B,LMX1B
PITX1,PITX1
TMPO,TMPO
TBC1D2B,TBC1D2B
SMIM27,SMIM27
HSD3B7,HSD3B7
TREML1,TREML1
MMP9,MMP9
COX5A,COX5A
HACD3,HACD3
VPS9D1,VPS9D1
GPR132,GPR132
FMO1,FMO1
APOM,APOM
IPO4,IPO4
FCN3,FCN3
SREBF2,SREBF2
PPIH,PPIH
RAPSN,RAPSN
PARP15,PARP15
ACADSB,ACADSB
MS4A14,MS4A14
RNF213,RNF213
SOS2,SOS2
PRR23B,PRR23B
AK9,AK9
GFOD1,GFOD1
GTF2A1,GTF2A1
SOX15,SOX15
XRCC5,XRCC5
NUSAP1,NUSAP1
GPR34,GPR34
MANSC1,MANSC1
MPPED2,MPPED2
CCL2,CCL2
FBXO42,FBXO42
P2RY10,P2RY10
RAPGEF4,RAPGEF4
CTXND1,CTXND1
TRAF3,TRAF3
MS4A10,MS4A10
GRIN2B,GRIN2B
MRPS18A,MRPS18A
RIMS2,RIMS2
ATG16L1,ATG16L1
RUFY1,RUFY1
NRP1,NRP1
NISCH,NISCH
CD300LF,CD300LF
CANT1,CANT1
ARHGEF12,ARHGEF12
PPP2R5B,PPP2R5B
METRN,METRN
CSF1R,CSF1R
CNDP2,CNDP2
RIPK1,RIPK1
TMCO1,TMCO1
CD3D,CD3D
PKM,PKM
PSME2,PSME2
RGS13,RGS13
USP27X-AS1,USP27X-AS1
CCR1,CCR1
GPR160,GPR160
FOXN2,FOXN2
CDK4,CDK4
TRIM61,TRIM61
MYO3B,MYO3B
NUF2,NUF2
APPBP2,APPBP2
PLEKHJ1,PLEKHJ1
TMED10,TMED10
WNT9A,WNT9A
SZT2,SZT2
FOLH1,FOLH1
POMC,POMC
CST7,CST7
BCL6B,BCL6B
GZMM,GZMM
ARID3A,ARID3A
RGS16,RGS16
HOXB4,HOXB4
MAGEA10,MAGEA10
HRH2,HRH2
ZFAS1,ZFAS1
JUP,JUP
MELK,MELK
GEN1,GEN1
FOXD3-AS1,FOXD3-AS1
CLPTM1,CLPTM1
PANK4,PANK4
ZBTB40,ZBTB40
KLHL36,KLHL36
C3,C3
SUOX,SUOX
GNAT2,GNAT2
CYB561,CYB561
NEIL1,NEIL1
TTC3,TTC3
NFIB,NFIB
FSHR,FSHR
ABCB7,ABCB7
TRPV4,TRPV4
C1orf141,C1orf141
NPDC1,NPDC1
RCSD1,RCSD1
SLC6A5,SLC6A5
HLA-DPA1,HLA-DPA1
SMG7,SMG7
RANBP9,RANBP9
TIMP2,TIMP2
INTS1,INTS1
TRIP13,TRIP13
MC4R,MC4R
SMURF1,SMURF1
PAFAH1B1,PAFAH1B1
SLC16A6,SLC16A6
MGAT2,MGAT2
TBX3,TBX3
HADH,HADH
NOXO1,NOXO1
OSER1-DT,OSER1-DT
NFYB,NFYB
CASP4,CASP4
SMKR1,SMKR1
SLC25A24,SLC25A24
SPPL2C,SPPL2C
NT5DC2,NT5DC2
CHD7,CHD7
SIGLEC15,SIGLEC15
ZNF169,ZNF169
RGS8,RGS8
TTN,TTN
SMARCD2,SMARCD2
PAWR,PAWR
PDGFRB,PDGFRB
CRYBB1,CRYBB1
CEP72,CEP72
ITGA6,ITGA6
ZNF141,ZNF141
SUSD4,SUSD4
MUSK,MUSK
POU2AF1,POU2AF1
PHB2,PHB2
SIGLEC1,SIGLEC1
ATP5MC1,ATP5MC1
CXXC4,CXXC4
ILF3,ILF3
COPS7A,COPS7A
PLK4,PLK4
RAG1,RAG1
ZNF222,ZNF222
BCAS3,BCAS3
ENOPH1,ENOPH1
CUEDC1,CUEDC1
ZNF280A,ZNF280A
PVALB,PVALB
SLC29A2,SLC29A2
ZNF180,ZNF180
CCNE1,CCNE1
KLHL5,KLHL5
ADGRF5,ADGRF5
TNFAIP3,TNFAIP3
CD19,CD19
ATF1,ATF1
WIPF2,WIPF2
AGTRAP,AGTRAP
HOXD9,HOXD9
SUV39H1,SUV39H1
GATB,GATB
TSPAN10,TSPAN10
PPIAL4G,PPIAL4G
TUBG1,TUBG1
WNK1,WNK1
MAF,MAF
RPL11,RPL11
CACNG2,CACNG2
GATAD2B,GATAD2B
PCCA,PCCA
JADE1,JADE1
MMP25-AS1,MMP25-AS1
GTF2I,GTF2I
RNF168,RNF168
DLAT,DLAT
MCOLN1,MCOLN1
FN3KRP,FN3KRP
TNIP3,TNIP3
UBE2E2,UBE2E2
DDI2,DDI2
TMEM260,TMEM260
PRMT5,PRMT5
SLC35B1,SLC35B1
RAB27A,RAB27A
CSNK1D,CSNK1D
CYP2C9,CYP2C9
KHDRBS1,KHDRBS1
CEACAM1,CEACAM1
CLSTN1,CLSTN1
METAP2,METAP2
TES,TES
RAD23B,RAD23B
ZNF738,ZNF738
GCH1,GCH1
PTPRG,PTPRG
NR1H3,NR1H3
CSNK1E,CSNK1E
MAX,MAX
FOXP3,FOXP3
TBX5,TBX5
PAPSS2,PAPSS2
CLDN18,CLDN18
CDKAL1,CDKAL1
EDEM2,EDEM2
TBRG4,TBRG4
POU5F2,POU5F2
SNHG5,SNHG5
POLR3K,POLR3K
PEAK3,PEAK3
IGFBP4,IGFBP4
ZSCAN22,ZSCAN22
ARIH1,ARIH1
NCOA6,NCOA6
CCR2,CCR2
TUBB,TUBB
LRRC8A,LRRC8A
DMRT3,DMRT3
AXL,AXL
RBM6,RBM6
LINC00668,LINC00668
CASP8,CASP8
ASIC3,ASIC3
EFNB2,EFNB2
ERBB4,ERBB4
PTPN4,PTPN4
TCL1A,TCL1A
KSR1,KSR1
ZIC3,ZIC3
SLC16A4,SLC16A4
HDAC10,HDAC10
PRSS1,PRSS1
MIA3,MIA3
PDGFB,PDGFB
LCORL,LCORL
EIF3H,EIF3H
GIPC1,GIPC1
BARD1,BARD1
GTF2E2,GTF2E2
CDK2,CDK2
SSB,SSB
NAGK,NAGK
NSFL1C,NSFL1C
PRAG1,PRAG1
COX8A,COX8A
HOXA13,HOXA13
NPEPPS,NPEPPS
MRGPRX4,MRGPRX4
PTGES,PTGES
FKBP8,FKBP8
TTC39A,TTC39A
IL10RA,IL10RA
TM7SF2,TM7SF2
IHH,IHH
TICRR,TICRR
FGFR1,FGFR1
VSTM5,VSTM5
LTF,LTF
PPM1G,PPM1G
KCNK2,KCNK2
SHOX2,SHOX2
BLK,BLK
PEX19,PEX19
GPR158,GPR158
KCNA7,KCNA7
PAM,PAM
AKAP13,AKAP13
LZTR1,LZTR1
MCFD2,MCFD2
GBF1,GBF1
HADHA,HADHA
KANSL1,KANSL1
PTCH1,PTCH1
DHX16,DHX16
SLC30A8,SLC30A8
BTBD3,BTBD3
MYO3A,MYO3A
HAVCR1,HAVCR1
DCST1-AS1,DCST1-AS1
SNHG9,SNHG9
ELMO1,ELMO1
NFS1,NFS1
CAMK2G,CAMK2G
PEPD,PEPD
ALDH6A1,ALDH6A1
SLC8A1,SLC8A1
SRF,SRF
JPT2,JPT2
DRD1,DRD1
ZNF582,ZNF582
EHMT2,EHMT2
CBX2,CBX2
PPP2R5C,PPP2R5C
KIR3DL3,KIR3DL3
AVPR1B,AVPR1B
MARK4,MARK4
CBX7,CBX7
HLCS,HLCS
BCL11A,BCL11A
ATF4,ATF4
KIF3A,KIF3A
ZNF488,ZNF488
ATP1A2,ATP1A2
TMEM163,TMEM163
PSMD8,PSMD8
PDZD11,PDZD11
MAP3K9,MAP3K9
EBF1,EBF1
TRAF3IP3,TRAF3IP3
HOXC13-AS,HOXC13-AS
P2RX2,P2RX2
NFYA,NFYA
PFAS,PFAS
CALU,CALU
ANO6,ANO6
LSS,LSS
PMPCA,PMPCA
BRD4,BRD4
ZNF683,ZNF683
ITGB7,ITGB7
VTI1A,VTI1A
ZKSCAN1,ZKSCAN1
FOXC2,FOXC2
FAM200A,FAM200A
ZBTB16,ZBTB16
MAGI2,MAGI2
ATOH1,ATOH1
GTF2H1,GTF2H1
AADACL2,AADACL2
VPS41,VPS41
TEX10,TEX10
ZNF83,ZNF83
MAGEC2,MAGEC2
MAP2K3,MAP2K3
CMTM2,CMTM2
TAF1B,TAF1B
SIAH2,SIAH2
EPHB4,EPHB4
NAT8,NAT8
GRWD1,GRWD1
FCRL2,FCRL2
CFL1,CFL1
FAM104A,FAM104A
BAD,BAD
RAB11FIP1,RAB11FIP1
POLE3,POLE3
ABCA5,ABCA5
RTP5,RTP5
NDUFV1,NDUFV1
SAMD3,SAMD3
BCL3,BCL3
SNHG8,SNHG8
TBK1,TBK1
CBL,CBL
TUBB1,TUBB1
ADA,ADA
POLE,POLE
FMNL1,FMNL1
SLC19A3,SLC19A3
BMPR1B,BMPR1B
LSM6,LSM6
PSG11,PSG11
CD9,CD9
DCSTAMP,DCSTAMP
FADD,FADD
GLYCTK,GLYCTK
CHEK2,CHEK2
XKR8,XKR8
IRF6,IRF6
TEX2,TEX2
ZNF213,ZNF213
CXCL11,CXCL11
E2F7,E2F7
LNX1,LNX1
ZNF592,ZNF592
CD79B,CD79B
PBK,PBK
ACVR2A,ACVR2A
USP18,USP18
ADAM17,ADAM17
MPZL3,MPZL3
ACBD3,ACBD3
CFTR,CFTR
ZFAT,ZFAT
PTPRK,PTPRK
RAB11FIP5,RAB11FIP5
CISD1,CISD1
MUS81,MUS81
TF,TF
CA5A,CA5A
MPIG6B,MPIG6B
ZNF572,ZNF572
CPS1,CPS1
NFKBIA,NFKBIA
DCAF4L2,DCAF4L2
PCYT1B,PCYT1B
GPER1,GPER1
FRAT1,FRAT1
MALSU1,MALSU1
COBL,COBL
MAP3K7,MAP3K7
LRRN3,LRRN3
RFX5,RFX5
FAM171B,FAM171B
PTGER3,PTGER3
OBSCN,OBSCN
CCR3,CCR3
SLC2A6,SLC2A6
FKBP5,FKBP5
PSMB9,PSMB9
EIF3J,EIF3J
SLC10A1,SLC10A1
TBX1,TBX1
PRKCG,PRKCG
SLC12A5,SLC12A5
RBM11,RBM11
PAK2,PAK2
GRK3,GRK3
GSTP1,GSTP1
SLC18A2,SLC18A2
ZSCAN26,ZSCAN26
DDR1,DDR1
ZIC2,ZIC2
RHPN1-AS1,RHPN1-AS1
FBXL5,FBXL5
LINC02381,LINC02381
HES1,HES1
C20orf194,C20orf194
ZNF610,ZNF610
APOA1,APOA1
KLHDC3,KLHDC3
IARS1,IARS1
LMCD1,LMCD1
DUSP11,DUSP11
TBC1D9B,TBC1D9B
MYBPHL,MYBPHL
CTF1,CTF1
GET3,GET3
GLDC,GLDC
CLDN11,CLDN11
ADRA2C,ADRA2C
IGF1R,IGF1R
MASTL,MASTL
NELFE,NELFE
HCN1,HCN1
CLDND1,CLDND1
IPMK,IPMK
HEPACAM2,HEPACAM2
SFXN1,SFXN1
CDC7,CDC7
CTSH,CTSH
TSPAN14,TSPAN14
PLD2,PLD2
ASAH1,ASAH1
MBD4,MBD4
ZNF629,ZNF629
TSPAN4,TSPAN4
CDK12,CDK12
SLC22A5,SLC22A5
ZNF430,ZNF430
PRXL2B,PRXL2B
PDE6G,PDE6G
UFSP2,UFSP2
GNPDA1,GNPDA1
AURKC,AURKC
ALAS2,ALAS2
THAP5,THAP5
PBX4,PBX4
HYAL2,HYAL2
CACNA1I,CACNA1I
PPT2,PPT2
RNMT,RNMT
INPP5A,INPP5A
AGO3,AGO3
PRMT6,PRMT6
HINT1,HINT1
OAS2,OAS2
BCAR1,BCAR1
PYCR3,PYCR3
POU5F1,POU5F1
ELL3,ELL3
